TILES
Tileset1.png
MAP
4 0 1 2 7
20	20
18	20	18	20	18	20	18	20	18	20	15	20	18	20	18	18	18	18	20	18
20	19	15	20	3	6	6	6	6	6	6	6	6	6	6	6	6	6	9	18
12	20	20	19	4	0	7	0	7	0	7	0	7	0	7	7	7	2	10	18
18	20	19	19	4	2	2	0	1	2	2	2	0	1	2	2	2	1	10	18
18	18	18	19	4	7	7	0	1	2	2	2	0	1	2	2	2	1	10	19
18	3	6	6	17	2	2	0	1	2	2	2	0	1	2	2	2	1	10	18
19	4	7	0	7	0	7	0	7	0	7	0	7	0	7	7	7	2	10	18
18	4	0	1	2	2	2	0	1	2	2	2	0	1	2	2	2	1	10	18
18	4	2	2	7	7	7	0	1	2	2	2	0	1	2	2	2	1	10	19
18	4	0	1	2	2	2	0	1	2	2	2	0	1	2	2	2	1	10	18
19	4	7	0	7	0	7	0	7	0	7	0	7	0	7	7	7	2	10	18
18	4	0	1	2	2	2	0	1	2	2	2	0	1	2	2	2	1	10	18
18	4	2	2	7	7	7	0	1	2	2	2	0	1	2	2	2	1	10	19
18	4	0	1	2	2	2	0	1	2	2	2	0	1	2	2	2	1	10	18
12	4	7	0	7	0	7	0	7	0	7	0	7	0	7	7	7	2	10	18
18	4	0	1	2	2	2	0	1	2	2	2	0	1	2	2	2	1	10	18
18	4	2	2	7	7	7	0	1	2	2	2	0	1	2	2	2	1	10	19
18	4	0	1	2	2	2	0	1	2	2	2	0	1	2	2	2	1	10	18
19	5	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	11	19
19	19	19	18	19	18	19	18	19	18	19	18	19	18	18	18	18	18	18	18
